,id,rank,relevant,text
0,1,1,1,Я очень расстроена Пошли в межсерверную битву у вас случился баг а мы тратили алмазы моим соальяновцам которые также как и я участвовали в битве выслали компенсацию в виде алмазов а мне показали фигу Я тратила алмазы на свитки и дополнительные удары а мне сказали якобы я не тратила алмазы Отвратительно поступаете сказали вышлете всем а в итоге многих участвовавших в битве обделили
1,2,5,1,Уважаемые разработчики благодарю за ваш ответ и за возвращенные свитки и пр что было затрачено на межсерверную битву Отдельное спасибо хочу сказать за новый ивент Кухня Это практически единственный ивент на котором без доната можно набрать достаточно плюшек Мое пожелание почаще запускайте эту кухню Хоть раза в месяц Ведь на ней можно столько кри поднять которые так нужны для игрового процесса А сам магазин в кухне просто шикарный
2,3,5,1,Играю с ноября До сих пор не надоедает Добавляет интерес общение с ребятами в альянсе и между альянсами К донаторам отношусь спокойно они всегда будут Я и многие другие мои товарищи попадают в топы без реальных вложений Много Эвентов и добавляются новые Дворцовая кухня с шикарными наградами Было бы неплохо узнать когда она будет в следующий раз
3,4,2,1,У меня Клара виснет она бывает прозрачной или в клеточку а если на прогулке встретится то голова мужика влезает и так уже длится неделю и у Ирен бывает нет рук или головы а бывает нет и головы и рук у не да и сделайте чтобы покупки можно было совершать через оператора Надеюсь я буду услышана
4,5,5,0,Лучшая игра
5,6,2,0,Ужасная игра Разработчики не смотрят на мнения игроков только Донат
6,7,3,0,скажу честно игра на интернете это мне не нравится минус одна звезда Почему столько мегабайтов Три звезды я ставлю
7,8,1,1,Игра напрямую конвертирующая твое время и деньги в силу Чтобы играть не нужно особых ума и фантазии просто заходите раз в полтора часа и тыкайте все возможные кнопки это путь к успеху остальное придет позже
8,9,3,0,игра рекламе не соответствует
9,10,5,1,Игра классная Играю с удовольствием На счет алмазов они легко добиваться а в магазине все в принципе дешево так что это плюс Удачи разработчики
10,11,1,1,Очки не добавляются при приготовлении блюд несколько раз писала в тех поддержку никто не отвечает Должны были добавить к очков но ничего не поменялось Разочаровалась в игре
11,12,5,0,Интересная игра
12,13,1,1,хочу обратить ваше внимание народ не допускайте Донат ни в коем случае украли замок стоимостью кусков вернуть обратно ни как не получается разработчики не активизируются проходят мимо очень печально Игре минус звезд
13,14,1,1,Я вообще-то не хотела ставить звезду Потому что это тупое приложение не скачивается
14,15,1,0,за рекламу звезда
15,16,1,0,Деньговыжималка
16,17,5,0,просто класс
17,18,5,1,Игра офигенная Большое спасибо разработчикам за эту классную игру
18,19,1,1,Просто кошмар Я пыталась скачать игру несколько раз в течении месяца И все пишет ошибка Я выполнила все что советовал Гугл Перезапускала устройство очищала кэш и стерала данные Маркета Ничего не помогает А я очень хочу поиграть в эту игру
19,20,5,1,Игра супер Всем советую е скачать
20,21,3,0,Как взломать игру
21,22,1,1,Если вы обновляете игру то будьте любезны сделать так что бы обновили игру все игроки а не избранные Не красиво с вашей стороны получается и сколько будут ждать обновление другие игроки не известно КРУТО БЛИН ЧТО ТУТ СКАЖЕШЬ НЕ УМЕЕТЕ РАЗРАБАТЫВАТЬ ИГРЫ НЕ БЕРИТЕСЬ
22,23,5,1,здравствуйте не могу зайти в игру начинает загружаться и сразу выкидывает подскажите что делать
23,24,4,1,вполне классный игр Разработчики спасибо вам большое Но есть минус сложно получить ресурсы А так все хорошо
24,25,1,1,после часов игры делать нечего постоянно нужно чего то ждать или донатить интерес на второй день пропадает досвиданье
25,26,5,1,Ну это совсем уже не смешно Я честный игрок дону трачу свои кровные деньги Вы делаете сырую обнову и запускаете все сервера Дикий бак Мы альянсом следуя вашим указаниям и правилам вливаем более алмазов в защиту замка покупаем свитки Ради чего Чтоб играть в системе а у нас все наоборот Вы прислали компенсацию так вот она мне не интересна ибо я хочу вернуть назад свои потраченные ресурсы Спасибо за шикарную битву
26,27,5,0,ужасно реклама полностью не соответствует игре
27,28,5,0,Спасибо разработчикам прикольная
28,29,5,0,Великолепная игра Скачала ее из за назойливой рекламы Не пожалела То что показано в рекламе не является действительным Игра куда интересней Всем советую
29,30,3,1,Игра замечательная но у меня сегодня пропали покупки деньги списались а в игре ничего не дали что делать
30,31,4,0,Много надуривания
31,32,1,1,Надоела за час объясню причину я понял что качать надо будет очень долго после того как увидел замедление поставок золота продуктов и войска
32,33,1,0,Ужас из этой игры мне надо удалять Вацап
33,34,1,0,слишком много Доната игра не совпадает с рекламой зачем врать
34,35,1,1,уберите акцию руины только донаторам и везет бесит зачем руины вообще когда донаторы и забирают
35,36,2,0,фуууууу ууууууу ууууу
36,37,5,1,Не знаете ли как можно менять пол Я несколько раз удаляла игру и опять скачивала но никак не смогла Пожалуйста сделайте так что бы когда играла можно было бы сменять пол хоть один раз
37,38,1,0,Ужасна игра
38,39,5,1,Очень классная игра сначала думала что не пойму как играть но затем разобравшись стала играть в нее каждый день по Очень много времени Короче игра очень классная скачивайте и играйте
39,40,1,1,боже какая убогая игра только обучение чего стоит много тр па и ничего по делу в общем нудно и не интересно чтобы общаться в чате нужен какой то титул втф вы серьезно это фиаско
40,41,5,1,Самая лучшая игра в мире
41,42,4,1,нашла для себя неприятный момент накопить одежду на советников особенно высокого ранга очень трудно например сейчас повысила одного советника до уровня а повысить ему ранг не могу нужна подходящая одежда зато медалей бесстрашия накопила штук мне их щас солить што ли побольше бы одежды давали за рейты а то ну реально мало если за е место до которого хрен доберешся дают комплектов а за е то за попадание хотя бы в десятку уже ШТО за перекос такой
42,43,4,0,Игра просто супер
43,44,5,1,здравствуйте у меня вопрос по игре Я получила ключ написано что он для древнего сундука Где взять этот сундук помогите разобраться
44,45,5,0,игра очень классная
45,46,5,1,мне это игра очень понравилось
46,47,1,1,Все было нормально пока не началась великая битва Какой там творился кошмар писали многие игроки повторяться не буду от себя хочу добавить что обещанную компенсацию за проблемы с битвой я так и не получила Надеюсь другим повезло больше и их админы не обошли вниманием Отписываются для галочки и все Как до вас докричаться Верните алмазы
47,48,5,1,Добрый день дорогие разработчики произошло бог был очень расстроен мои воины стояли на месте из за этого я потерял свои ресурсы ставлю с наметом на то что вы сделаете компенсацию за ваши боги
48,49,1,0,почему не скачиваются игра
49,50,5,0,офигенная игра но я хотела бы чтобы вы сделали роман не раз а раз в месяц а так игра классная Настя лет
50,51,5,0,оно офигенное но сейчас оно даже не качается
51,52,1,0,одним словом ужасно
52,53,1,0,игра тупая на самом деле там вообще ничего нету
